Zero at 845, d_k = 4, post_zero = 4, old? True
Zero at 849, d_k = 4, post_zero = 4, old? True
Zero at 856, d_k = 7, post_zero = 7, old? True
Zero at 860, d_k = 4, post_zero = 4, old? True
Zero at 867, d_k = 7, post_zero = 7, old? True
Zero at 872, d_k = 5, post_zero = 5, old? True
Zero at 876, d_k = 4, post_zero = 4, old? True
Zero at 884, d_k = 8, post_zero = 8, old? True
Zero at 888, d_k = 4, post_zero = 4, old? True
Zero at 893, d_k = 5, post_zero = 5, old? True
Zero at 898, d_k = 5, post_zero = 5, old? True
Zero at 905, d_k = 7, post_zero = 7, old? True
Zero at 909, d_k = 4, post_zero = 4, old? True
Zero at 917, d_k = 8, post_zero = 8, old? True
Zero at 921, d_k = 4, post_zero = 4, old? True
Zero at 929, d_k = 8, post_zero = 8, old? True
Zero at 935, d_k = 6, post_zero = 6, old? True
Zero at 940, d_k = 5, post_zero = 5, old? True
Zero at 945, d_k = 5, post_zero = 5, old? True
Zero at 952, d_k = 7, post_zero = 7, old? True
Zero at 959, d_k = 7, post_zero = 7, old? True
Zero at 965, d_k = 6, post_zero = 6, old? True
Zero at 973, d_k = 8, post_zero = 8, old? True
Zero at 977, d_k = 4, post_zero = 4, old? True
Zero at 981, d_k = 4, post_zero = 4, old? True
Zero at 987, d_k = 6, post_zero = 6, old? True
